order_date,daily_revenue,daily_order_count,revenue_rolling_7d,revenue_rolling_30d,avg_daily_revenue_7d,avg_daily_revenue_30d
2024-01-01,37936.650000000000000000,65,37936.650000000000000000,37936.650000000000000000,37936.65,37936.65
2024-01-02,36538.480000000000000000,61,74475.130000000000000000,74475.130000000000000000,37237.57,37237.57
2024-01-03,39064.220000000000000000,68,113539.350000000000000000,113539.350000000000000000,37846.45,37846.45
2024-01-04,47143.460000000000000000,78,160682.810000000000000000,160682.810000000000000000,40170.70,40170.70
2024-01-05,43377.650000000000000000,68,204060.460000000000000000,204060.460000000000000000,40812.09,40812.09
2024-01-06,36096.330000000000000000,63,240156.790000000000000000,240156.790000000000000000,40026.13,40026.13
2024-01-07,46222.280000000000000000,66,286379.070000000000000000,286379.070000000000000000,40911.30,40911.30
2024-01-08,35461.620000000000000000,57,283904.040000000000000000,321840.690000000000000000,40557.72,40230.09
2024-01-09,33875.410000000000000000,59,281240.970000000000000000,355716.100000000000000000,40177.28,39524.01
2024-01-10,45484.380000000000000000,64,287661.130000000000000000,401200.480000000000000000,41094.45,40120.05
2024-01-11,46841.940000000000000000,69,287359.610000000000000000,448042.420000000000000000,41051.37,40731.13
2024-01-12,34439.190000000000000000,59,278421.150000000000000000,482481.610000000000000000,39774.45,40206.80
2024-01-13,32160.130000000000000000,57,274484.950000000000000000,514641.740000000000000000,39212.14,39587.83
2024-01-14,32507.020000000000000000,65,260769.690000000000000000,547148.760000000000000000,37252.81,39082.05
2024-01-15,42219.840000000000000000,65,267527.910000000000000000,589368.600000000000000000,38218.27,39291.24
2024-01-16,34860.030000000000000000,60,268512.530000000000000000,624228.630000000000000000,38358.93,39014.29
2024-01-17,31146.760000000000000000,59,254174.910000000000000000,655375.390000000000000000,36310.70,38551.49
2024-01-18,31375.520000000000000000,55,238708.490000000000000000,686750.910000000000000000,34101.21,38152.83
2024-01-19,43494.330000000000000000,65,247763.630000000000000000,730245.240000000000000000,35394.80,38433.96
2024-01-20,35306.950000000000000000,56,250910.450000000000000000,765552.190000000000000000,35844.35,38277.61
2024-01-21,42693.390000000000000000,81,261096.820000000000000000,808245.580000000000000000,37299.55,38487.88
2024-01-22,38557.420000000000000000,69,257434.400000000000000000,846803.000000000000000000,36776.34,38491.05
2024-01-23,33235.500000000000000000,56,255809.870000000000000000,880038.500000000000000000,36544.27,38262.54
2024-01-24,49484.530000000000000000,73,274147.640000000000000000,929523.030000000000000000,39163.95,38730.13
2024-01-25,42936.110000000000000000,53,285708.230000000000000000,972459.140000000000000000,40815.46,38898.37
2024-01-26,40326.680000000000000000,64,282540.580000000000000000,1012785.820000000000000000,40362.94,38953.30
2024-01-27,41302.220000000000000000,68,288535.850000000000000000,1054088.040000000000000000,41219.41,39040.30
2024-01-28,39306.430000000000000000,60,285148.890000000000000000,1093394.470000000000000000,40735.56,39049.80
2024-01-29,45845.690000000000000000,70,292437.160000000000000000,1139240.160000000000000000,41776.74,39284.14
2024-01-30,42863.220000000000000000,64,302064.880000000000000000,1182103.380000000000000000,43152.13,39403.45
2024-01-31,40285.110000000000000000,68,292865.460000000000000000,1184451.840000000000000000,41837.92,39481.73
2024-02-01,44688.110000000000000000,61,294617.460000000000000000,1192601.470000000000000000,42088.21,39753.38
2024-02-02,43490.640000000000000000,62,297781.420000000000000000,1197027.890000000000000000,42540.20,39900.93
2024-02-03,44589.780000000000000000,65,301068.980000000000000000,1194474.210000000000000000,43009.85,39815.81
2024-02-04,37482.670000000000000000,60,299245.220000000000000000,1188579.230000000000000000,42749.32,39619.31
2024-02-05,40058.380000000000000000,66,293457.910000000000000000,1192541.280000000000000000,41922.56,39751.38
2024-02-06,45938.390000000000000000,70,296533.080000000000000000,1192257.390000000000000000,42361.87,39741.91
2024-02-07,37327.980000000000000000,65,293575.950000000000000000,1194123.750000000000000000,41939.42,39804.13
2024-02-08,45948.360000000000000000,76,294836.200000000000000000,1206196.700000000000000000,42119.46,40206.56
2024-02-09,43082.310000000000000000,68,294427.870000000000000000,1203794.630000000000000000,42061.12,40126.49
2024-02-10,46001.180000000000000000,71,295839.270000000000000000,1202953.870000000000000000,42262.75,40098.46
2024-02-11,41413.730000000000000000,60,299770.330000000000000000,1209928.410000000000000000,42824.33,40330.95
2024-02-12,45853.470000000000000000,73,305565.420000000000000000,1223621.750000000000000000,43652.20,40787.39
2024-02-13,30941.350000000000000000,45,290568.380000000000000000,1222056.080000000000000000,41509.77,40735.20
2024-02-14,37259.390000000000000000,69,290499.790000000000000000,1217095.630000000000000000,41499.97,40569.85
2024-02-15,29150.090000000000000000,49,273701.520000000000000000,1211385.690000000000000000,39100.22,40379.52
2024-02-16,36545.070000000000000000,62,267164.280000000000000000,1216784.000000000000000000,38166.33,40559.47
2024-02-17,50292.750000000000000000,75,271455.850000000000000000,1235701.230000000000000000,38779.41,41190.04
2024-02-18,44334.750000000000000000,76,274376.870000000000000000,1236541.650000000000000000,39196.70,41218.06
2024-02-19,34193.380000000000000000,56,262716.780000000000000000,1235428.080000000000000000,37530.97,41180.94
2024-02-20,30229.180000000000000000,59,262004.610000000000000000,1222963.870000000000000000,37429.23,40765.46
2024-02-21,40679.070000000000000000,72,265424.290000000000000000,1225085.520000000000000000,37917.76,40836.18
2024-02-22,34306.990000000000000000,60,270581.190000000000000000,1226157.010000000000000000,38654.46,40871.90
2024-02-23,36454.740000000000000000,62,270490.860000000000000000,1213127.220000000000000000,38641.55,40437.57
2024-02-24,32710.720000000000000000,58,252908.830000000000000000,1202901.830000000000000000,36129.83,40096.73
2024-02-25,48619.540000000000000000,69,257193.620000000000000000,1211194.690000000000000000,36741.95,40373.16
2024-02-26,30291.480000000000000000,52,253291.720000000000000000,1200183.950000000000000000,36184.53,40006.13
2024-02-27,38397.660000000000000000,66,261460.200000000000000000,1199275.180000000000000000,37351.46,39975.84
2024-02-28,41175.110000000000000000,65,261956.240000000000000000,1194604.600000000000000000,37422.32,39820.15
2024-02-29,34223.710000000000000000,62,261872.960000000000000000,1185965.090000000000000000,37410.42,39532.17
2024-03-01,44479.040000000000000000,72,269897.260000000000000000,1190159.020000000000000000,38556.75,39671.97
2024-03-02,47930.600000000000000000,78,285117.140000000000000000,1193401.510000000000000000,40731.02,39780.05
2024-03-03,34167.460000000000000000,61,270665.060000000000000000,1184078.330000000000000000,38666.44,39469.28
2024-03-04,44219.760000000000000000,69,284593.340000000000000000,1183708.310000000000000000,40656.19,39456.94
2024-03-05,32989.310000000000000000,56,279184.990000000000000000,1179214.950000000000000000,39883.57,39307.17
2024-03-06,33951.380000000000000000,65,271961.260000000000000000,1173107.950000000000000000,38851.61,39103.60
2024-03-07,37318.280000000000000000,53,275055.830000000000000000,1164487.840000000000000000,39293.69,38816.26
2024-03-08,42562.620000000000000000,66,273139.410000000000000000,1169722.480000000000000000,39019.92,38990.75
2024-03-09,49022.450000000000000000,83,274231.260000000000000000,1172796.570000000000000000,39175.89,39093.22
2024-03-10,40843.990000000000000000,62,280907.790000000000000000,1170558.250000000000000000,40129.68,39018.61
2024-03-11,42793.020000000000000000,57,279481.050000000000000000,1167350.090000000000000000,39925.86,38911.67
2024-03-12,43216.920000000000000000,67,289708.660000000000000000,1169153.280000000000000000,41386.95,38971.78
2024-03-13,35026.390000000000000000,63,290783.670000000000000000,1158326.200000000000000000,41540.52,38610.87
2024-03-14,26825.820000000000000000,47,280291.210000000000000000,1154210.670000000000000000,40041.60,38473.69
2024-03-15,39675.570000000000000000,65,277404.160000000000000000,1156626.850000000000000000,39629.17,38554.23
2024-03-16,44587.250000000000000000,60,272968.960000000000000000,1172064.010000000000000000,38995.57,39068.80
2024-03-17,41160.100000000000000000,69,273285.070000000000000000,1176679.040000000000000000,39040.72,39222.63
2024-03-18,37728.980000000000000000,63,268221.030000000000000000,1164115.270000000000000000,38317.29,38803.84
2024-03-19,33163.870000000000000000,67,258167.980000000000000000,1152944.390000000000000000,36881.14,38431.48
2024-03-20,36876.250000000000000000,67,260017.840000000000000000,1155627.260000000000000000,37145.41,38520.91
2024-03-21,45348.050000000000000000,76,278540.070000000000000000,1170746.130000000000000000,39791.44,39024.87
